Core,Coring device,Latitude,Longitude,Water depth (m),Ocean,Sample depth - upper (m),Symbiosis,Spine,Absolute Abundance
181-1123,drilling/drill rig,-41.786,-171.499,3290,Pacific,,symbiont-barren,non-spinose,298
181-1123,drilling/drill rig,-41.786,-171.499,3290,Pacific,,symbiont-barren,spinose,228
181-1123,drilling/drill rig,-41.786,-171.499,3290,Pacific,,symbiont-bearing,non-spinose,0
181-1123,drilling/drill rig,-41.786,-171.499,3290,Pacific,,symbiont-bearing,spinose,0
181-1123,drilling/drill rig,-41.786,-171.499,3290,Pacific,,symbiont-facultative,non-spinose,160
181-1123,drilling/drill rig,-41.786,-171.499,3290,Pacific,,symbiont-facultative,spinose,0
181-1123,drilling/drill rig,-41.786,-171.499,3290,Pacific,,symbiont-obligate,spinose,3
181-1123,drilling/drill rig,-41.786,-171.499,3290,Pacific,,undetermined,non-spinose,0
80KB11,Piston,36.5,24.3,795,Mediterranean,,symbiont-barren,non-spinose,146
80KB11,Piston,36.5,24.3,795,Mediterranean,,symbiont-barren,spinose,89
80KB11,Piston,36.5,24.3,795,Mediterranean,,symbiont-bearing,non-spinose,0
80KB11,Piston,36.5,24.3,795,Mediterranean,,symbiont-bearing,spinose,0
80KB11,Piston,36.5,24.3,795,Mediterranean,,symbiont-facultative,non-spinose,31
80KB11,Piston,36.5,24.3,795,Mediterranean,,symbiont-facultative,spinose,0
80KB11,Piston,36.5,24.3,795,Mediterranean,,symbiont-obligate,spinose,2
80KB11,Piston,36.5,24.3,795,Mediterranean,,undetermined,non-spinose,0
A015558,,8.983333333,51.73333333,3985,Indian,0.58,symbiont-barren,non-spinose,93
A015558,,8.983333333,51.73333333,3985,Indian,0.58,symbiont-barren,spinose,41
A015558,,8.983333333,51.73333333,3985,Indian,0.58,symbiont-bearing,non-spinose,0
A015558,,8.983333333,51.73333333,3985,Indian,0.58,symbiont-bearing,spinose,13
A015558,,8.983333333,51.73333333,3985,Indian,0.58,symbiont-facultative,non-spinose,130
A015558,,8.983333333,51.73333333,3985,Indian,0.58,symbiont-facultative,spinose,0
A015558,,8.983333333,51.73333333,3985,Indian,0.58,symbiont-obligate,spinose,24
A015558,,8.983333333,51.73333333,3985,Indian,0.58,undetermined,non-spinose,0
A156-04,,34.817,-74.683,3100,North Atlantic,750,symbiont-barren,non-spinose,20
A156-04,,34.817,-74.683,3100,North Atlantic,750,symbiont-barren,spinose,36
A156-04,,34.817,-74.683,3100,North Atlantic,750,symbiont-bearing,non-spinose,0
A156-04,,34.817,-74.683,3100,North Atlantic,750,symbiont-bearing,spinose,20
A156-04,,34.817,-74.683,3100,North Atlantic,750,symbiont-facultative,non-spinose,98
A156-04,,34.817,-74.683,3100,North Atlantic,750,symbiont-facultative,spinose,0
A156-04,,34.817,-74.683,3100,North Atlantic,750,symbiont-obligate,spinose,149
A156-04,,34.817,-74.683,3100,North Atlantic,750,undetermined,non-spinose,0
A164-05,,37.767,-71.235,3330,North Atlantic,171,symbiont-barren,non-spinose,118
A164-05,,37.767,-71.235,3330,North Atlantic,171,symbiont-barren,spinose,34
A164-05,,37.767,-71.235,3330,North Atlantic,171,symbiont-bearing,non-spinose,0
A164-05,,37.767,-71.235,3330,North Atlantic,171,symbiont-bearing,spinose,8
A164-05,,37.767,-71.235,3330,North Atlantic,171,symbiont-facultative,non-spinose,155
A164-05,,37.767,-71.235,3330,North Atlantic,171,symbiont-facultative,spinose,0
A164-05,,37.767,-71.235,3330,North Atlantic,171,symbiont-obligate,spinose,36
A164-05,,37.767,-71.235,3330,North Atlantic,171,undetermined,non-spinose,0
A164-06,,38.133,-69.851,3675,North Atlantic,109,symbiont-barren,non-spinose,96
A164-06,,38.133,-69.851,3675,North Atlantic,109,symbiont-barren,spinose,29
A164-06,,38.133,-69.851,3675,North Atlantic,109,symbiont-bearing,non-spinose,0
A164-06,,38.133,-69.851,3675,North Atlantic,109,symbiont-bearing,spinose,0
A164-06,,38.133,-69.851,3675,North Atlantic,109,symbiont-facultative,non-spinose,47
A164-06,,38.133,-69.851,3675,North Atlantic,109,symbiont-facultative,spinose,1
A164-06,,38.133,-69.851,3675,North Atlantic,109,symbiont-obligate,spinose,13
A164-06,,38.133,-69.851,3675,North Atlantic,109,undetermined,non-spinose,0
A164-24,,36.483,-69,4390,North Atlantic,75,symbiont-barren,non-spinose,26
A164-24,,36.483,-69,4390,North Atlantic,75,symbiont-barren,spinose,7
A164-24,,36.483,-69,4390,North Atlantic,75,symbiont-bearing,non-spinose,0
A164-24,,36.483,-69,4390,North Atlantic,75,symbiont-bearing,spinose,1
A164-24,,36.483,-69,4390,North Atlantic,75,symbiont-facultative,non-spinose,85
A164-24,,36.483,-69,4390,North Atlantic,75,symbiont-facultative,spinose,0
A164-24,,36.483,-69,4390,North Atlantic,75,symbiont-obligate,spinose,37
A164-24,,36.483,-69,4390,North Atlantic,75,undetermined,non-spinose,0
A164-61,,39.535,-68.783,2650,North Atlantic,100,symbiont-barren,non-spinose,127
A164-61,,39.535,-68.783,2650,North Atlantic,100,symbiont-barren,spinose,69
A164-61,,39.535,-68.783,2650,North Atlantic,100,symbiont-bearing,non-spinose,0
A164-61,,39.535,-68.783,2650,North Atlantic,100,symbiont-bearing,spinose,9
A164-61,,39.535,-68.783,2650,North Atlantic,100,symbiont-facultative,non-spinose,151
A164-61,,39.535,-68.783,2650,North Atlantic,100,symbiont-facultative,spinose,0
A164-61,,39.535,-68.783,2650,North Atlantic,100,symbiont-obligate,spinose,36
A164-61,,39.535,-68.783,2650,North Atlantic,100,undetermined,non-spinose,0
A167-13,,31.65,-75.35,2871,North Atlantic,140,symbiont-barren,non-spinose,52
A167-13,,31.65,-75.35,2871,North Atlantic,140,symbiont-barren,spinose,15
A167-13,,31.65,-75.35,2871,North Atlantic,140,symbiont-bearing,non-spinose,0
A167-13,,31.65,-75.35,2871,North Atlantic,140,symbiont-bearing,spinose,11
A167-13,,31.65,-75.35,2871,North Atlantic,140,symbiont-facultative,non-spinose,120
A167-13,,31.65,-75.35,2871,North Atlantic,140,symbiont-facultative,spinose,0
A167-13,,31.65,-75.35,2871,North Atlantic,140,symbiont-obligate,spinose,116
A167-13,,31.65,-75.35,2871,North Atlantic,140,undetermined,non-spinose,0
A167-14,,31.467,-76.467,2635,North Atlantic,100,symbiont-barren,non-spinose,49
A167-14,,31.467,-76.467,2635,North Atlantic,100,symbiont-barren,spinose,13
A167-14,,31.467,-76.467,2635,North Atlantic,100,symbiont-bearing,non-spinose,0
A167-14,,31.467,-76.467,2635,North Atlantic,100,symbiont-bearing,spinose,18
A167-14,,31.467,-76.467,2635,North Atlantic,100,symbiont-facultative,non-spinose,116
A167-14,,31.467,-76.467,2635,North Atlantic,100,symbiont-facultative,spinose,0
A167-14,,31.467,-76.467,2635,North Atlantic,100,symbiont-obligate,spinose,127
A167-14,,31.467,-76.467,2635,North Atlantic,100,undetermined,non-spinose,0
A172-01,,17.233,-73.467,4150,North Atlantic,40,symbiont-barren,non-spinose,26
A172-01,,17.233,-73.467,4150,North Atlantic,40,symbiont-barren,spinose,11
A172-01,,17.233,-73.467,4150,North Atlantic,40,symbiont-bearing,non-spinose,0
A172-01,,17.233,-73.467,4150,North Atlantic,40,symbiont-bearing,spinose,15
A172-01,,17.233,-73.467,4150,North Atlantic,40,symbiont-facultative,non-spinose,99
A172-01,,17.233,-73.467,4150,North Atlantic,40,symbiont-facultative,spinose,0
A172-01,,17.233,-73.467,4150,North Atlantic,40,symbiont-obligate,spinose,326
A172-01,,17.233,-73.467,4150,North Atlantic,40,undetermined,non-spinose,0
A172-02,,16.2,-72.317,3070,North Atlantic,60,symbiont-barren,non-spinose,18
A172-02,,16.2,-72.317,3070,North Atlantic,60,symbiont-barren,spinose,9
A172-02,,16.2,-72.317,3070,North Atlantic,60,symbiont-bearing,non-spinose,0
A172-02,,16.2,-72.317,3070,North Atlantic,60,symbiont-bearing,spinose,26
A172-02,,16.2,-72.317,3070,North Atlantic,60,symbiont-facultative,non-spinose,124
A172-02,,16.2,-72.317,3070,North Atlantic,60,symbiont-facultative,spinose,1
A172-02,,16.2,-72.317,3070,North Atlantic,60,symbiont-obligate,spinose,247
