Core,Coring device,Latitude,Longitude,Water depth (m),Ocean,Sample depth - upper (m),Symbiosis,Spine,Relative Abundance
117-723A,drilling/drill rig,18.0518,57.609,806,Indian,,symbiont-barren,non-spinose,0.019
117-723A,drilling/drill rig,18.0518,57.609,806,Indian,,symbiont-barren,spinose,0.502
117-723A,drilling/drill rig,18.0518,57.609,806,Indian,,symbiont-bearing,non-spinose,0
117-723A,drilling/drill rig,18.0518,57.609,806,Indian,,symbiont-bearing,spinose,0
117-723A,drilling/drill rig,18.0518,57.609,806,Indian,,symbiont-facultative,non-spinose,0.19
117-723A,drilling/drill rig,18.0518,57.609,806,Indian,,symbiont-facultative,spinose,0.004
117-723A,drilling/drill rig,18.0518,57.609,806,Indian,,symbiont-obligate,spinose,0.226
117-723A,drilling/drill rig,18.0518,57.609,806,Indian,,undetermined,non-spinose,0.056
165-999A,drilling/drill rig,12.744,-78.7393,2828,North Atlantic,,symbiont-barren,non-spinose,0.076
165-999A,drilling/drill rig,12.744,-78.7393,2828,North Atlantic,,symbiont-barren,spinose,0.019
165-999A,drilling/drill rig,12.744,-78.7393,2828,North Atlantic,,symbiont-bearing,non-spinose,0
165-999A,drilling/drill rig,12.744,-78.7393,2828,North Atlantic,,symbiont-bearing,spinose,0.036
165-999A,drilling/drill rig,12.744,-78.7393,2828,North Atlantic,,symbiont-facultative,non-spinose,0.399
165-999A,drilling/drill rig,12.744,-78.7393,2828,North Atlantic,,symbiont-facultative,spinose,0
165-999A,drilling/drill rig,12.744,-78.7393,2828,North Atlantic,,undetermined,non-spinose,0
17938-2,,19.78,117.53,2840,Pacific,3.65,symbiont-barren,non-spinose,0.00903614457
17938-2,,19.78,117.53,2840,Pacific,3.65,symbiont-barren,spinose,0.06325301205
17938-2,,19.78,117.53,2840,Pacific,3.65,symbiont-bearing,non-spinose,0
17938-2,,19.78,117.53,2840,Pacific,3.65,symbiont-bearing,spinose,0.0391566265
17938-2,,19.78,117.53,2840,Pacific,3.65,symbiont-facultative,non-spinose,0.68975903619
17938-2,,19.78,117.53,2840,Pacific,3.65,symbiont-facultative,spinose,0
17938-2,,19.78,117.53,2840,Pacific,3.65,symbiont-obligate,spinose,0.19879518077
17938-2,,19.78,117.53,2840,Pacific,3.65,undetermined,non-spinose,0
17938-2,,19.78,117.53,2840,Pacific,3.75,symbiont-barren,non-spinose,0.01529051988
17938-2,,19.78,117.53,2840,Pacific,3.75,symbiont-barren,spinose,0.06727828746
17938-2,,19.78,117.53,2840,Pacific,3.75,symbiont-bearing,non-spinose,0
17938-2,,19.78,117.53,2840,Pacific,3.75,symbiont-bearing,spinose,0.03058103976
17938-2,,19.78,117.53,2840,Pacific,3.75,symbiont-facultative,non-spinose,0.62996941898
17938-2,,19.78,117.53,2840,Pacific,3.75,symbiont-facultative,spinose,0
17938-2,,19.78,117.53,2840,Pacific,3.75,symbiont-obligate,spinose,0.2354740061
17938-2,,19.78,117.53,2840,Pacific,3.75,undetermined,non-spinose,0.00305810398
17938-2,,19.78,117.53,2840,Pacific,3.85,symbiont-barren,non-spinose,0.01230769231
