Core,Coring device,Latitude,Longitude,Water depth (m),Ocean,Sample depth - upper (m),Species,Absolute Abundance
GIK23354-6,,70.3315,-10.6288,1747,North Atlantic,0.8,D. anfracta,0
GIK23354-6,,70.3315,-10.6288,1747,North Atlantic,0.8,G. cavernula,0
GIK23354-6,,70.3315,-10.6288,1747,North Atlantic,0.8,G. crassaformis,0
GIK23354-6,,70.3315,-10.6288,1747,North Atlantic,0.8,G. hirsuta,0
GIK23354-6,,70.3315,-10.6288,1747,North Atlantic,0.8,G. cultrata,0
GIK23354-6,,70.3315,-10.6288,1747,North Atlantic,0.8,G. scitula,0
GIK23354-6,,70.3315,-10.6288,1747,North Atlantic,0.8,G. truncatulinoides,0
GIK23354-6,,70.3315,-10.6288,1747,North Atlantic,0.8,G. tumida,0
GIK23354-6,,70.3315,-10.6288,1747,North Atlantic,0.8,G. ungulata,0
GIK23354-6,,70.3315,-10.6288,1747,North Atlantic,0.8,G. eastropacia,0
GIK23354-6,,70.3315,-10.6288,1747,North Atlantic,0.8,G. inflata,0
GIK23354-6,,70.3315,-10.6288,1747,North Atlantic,0.8,N. dutertrei,0
GIK23354-6,,70.3315,-10.6288,1747,North Atlantic,0.8,N. incompta,3
GIK23354-6,,70.3315,-10.6288,1747,North Atlantic,0.8,N. pachyderma,97
GIK23354-6,,70.3315,-10.6288,1747,North Atlantic,0.8,P. obliquiloculata,0
GIK23354-6,,70.3315,-10.6288,1747,North Atlantic,0.8,G. conglomerata,0
GIK23354-6,,70.3315,-10.6288,1747,North Atlantic,0.8,G. hexagonus,0
GIK23354-6,,70.3315,-10.6288,1747,North Atlantic,0.8,B. pumilio,0
GIK23354-6,,70.3315,-10.6288,1747,North Atlantic,0.8,G. bulloides,0
GIK23354-6,,70.3315,-10.6288,1747,North Atlantic,0.8,G. falconensis,0
GIK23354-6,,70.3315,-10.6288,1747,North Atlantic,0.8,G. conglobatus,0
GIK23354-6,,70.3315,-10.6288,1747,North Atlantic,0.8,G. ruber ruber,0
GIK23354-6,,70.3315,-10.6288,1747,North Atlantic,0.8,G. ruber albus,0
GIK23354-6,,70.3315,-10.6288,1747,North Atlantic,0.8,T. sacculifer,0
GIK23354-6,,70.3315,-10.6288,1747,North Atlantic,0.8,G. tenellus,0
GIK23354-6,,70.3315,-10.6288,1747,North Atlantic,0.8,O. universa,0
GIK23354-6,,70.3315,-10.6288,1747,North Atlantic,0.8,B. digitata,0
GIK23354-6,,70.3315,-10.6288,1747,North Atlantic,0.8,G. siphonifera,0
GIK23354-6,,70.3315,-10.6288,1747,North Atlantic,0.8,G. calida,0
GIK23354-6,,70.3315,-10.6288,1747,North Atlantic,0.8,G. adamsi,0
GIK23354-6,,70.3315,-10.6288,1747,North Atlantic,0.8,T. quinqueloba,0
GIK23354-6,,70.3315,-10.6288,1747,North Atlantic,0.8,T. humilis,0
GIK23354-6,,70.3315,-10.6288,1747,North Atlantic,0.8,G. rubescens,0
GIK23354-6,,70.3315,-10.6288,1747,North Atlantic,0.8,S. dehiscens,0
GIK23354-6,,70.3315,-10.6288,1747,North Atlantic,0.8,C. nitida,0
GIK23354-6,,70.3315,-10.6288,1747,North Atlantic,0.8,G. glutinata,0
GIK23354-6,,70.3315,-10.6288,1747,North Atlantic,0.8,G. uvula,0
GIK23354-6,,70.3315,-10.6288,1747,North Atlantic,0.8,G. minuta,0
GIK23354-6,,70.3315,-10.6288,1747,North Atlantic,0.8,T. iota,0
GIK23354-6,,70.3315,-10.6288,1747,North Atlantic,0.8,H. pelagica,0
GIK23354-6,,70.3315,-10.6288,1747,North Atlantic,0.8,H. digitata,0
80KB11,Piston,36.5,24.3,795,Mediterranean,,D. anfracta,0
80KB11,Piston,36.5,24.3,795,Mediterranean,,G. cavernula,0
80KB11,Piston,36.5,24.3,795,Mediterranean,,G. crassaformis,0
80KB11,Piston,36.5,24.3,795,Mediterranean,,G. hirsuta,0
80KB11,Piston,36.5,24.3,795,Mediterranean,,G. cultrata,0
80KB11,Piston,36.5,24.3,795,Mediterranean,,G. scitula,7
80KB11,Piston,36.5,24.3,795,Mediterranean,,G. truncatulinoides,1
80KB11,Piston,36.5,24.3,795,Mediterranean,,G. tumida,0
80KB11,Piston,36.5,24.3,795,Mediterranean,,G. ungulata,0
80KB11,Piston,36.5,24.3,795,Mediterranean,,G. eastropacia,0
80KB11,Piston,36.5,24.3,795,Mediterranean,,G. inflata,5
80KB11,Piston,36.5,24.3,795,Mediterranean,,N. dutertrei,0
80KB11,Piston,36.5,24.3,795,Mediterranean,,N. incompta,134
80KB11,Piston,36.5,24.3,795,Mediterranean,,N. pachyderma,4
80KB11,Piston,36.5,24.3,795,Mediterranean,,P. obliquiloculata,0
80KB11,Piston,36.5,24.3,795,Mediterranean,,G. conglomerata,0
80KB11,Piston,36.5,24.3,795,Mediterranean,,G. hexagonus,0
80KB11,Piston,36.5,24.3,795,Mediterranean,,B. pumilio,0
80KB11,Piston,36.5,24.3,795,Mediterranean,,G. bulloides,58
80KB11,Piston,36.5,24.3,795,Mediterranean,,G. falconensis,0
80KB11,Piston,36.5,24.3,795,Mediterranean,,G. conglobatus,0
80KB11,Piston,36.5,24.3,795,Mediterranean,,G. ruber ruber,
80KB11,Piston,36.5,24.3,795,Mediterranean,,G. ruber albus,
80KB11,Piston,36.5,24.3,795,Mediterranean,,T. sacculifer,0
80KB11,Piston,36.5,24.3,795,Mediterranean,,G. tenellus,0
80KB11,Piston,36.5,24.3,795,Mediterranean,,O. universa,2
80KB11,Piston,36.5,24.3,795,Mediterranean,,B. digitata,0
80KB11,Piston,36.5,24.3,795,Mediterranean,,G. siphonifera,0
80KB11,Piston,36.5,24.3,795,Mediterranean,,G. calida,0
80KB11,Piston,36.5,24.3,795,Mediterranean,,G. adamsi,0
80KB11,Piston,36.5,24.3,795,Mediterranean,,T. quinqueloba,31
80KB11,Piston,36.5,24.3,795,Mediterranean,,T. humilis,0
80KB11,Piston,36.5,24.3,795,Mediterranean,,G. rubescens,0
80KB11,Piston,36.5,24.3,795,Mediterranean,,S. dehiscens,0
80KB11,Piston,36.5,24.3,795,Mediterranean,,C. nitida,0
80KB11,Piston,36.5,24.3,795,Mediterranean,,G. glutinata,26
80KB11,Piston,36.5,24.3,795,Mediterranean,,G. uvula,0
80KB11,Piston,36.5,24.3,795,Mediterranean,,G. minuta,0
80KB11,Piston,36.5,24.3,795,Mediterranean,,T. iota,0
80KB11,Piston,36.5,24.3,795,Mediterranean,,H. pelagica,0
80KB11,Piston,36.5,24.3,795,Mediterranean,,H. digitata,0
BC15,Piston,41.95,5.93,2500,Mediterranean,,D. anfracta,0
BC15,Piston,41.95,5.93,2500,Mediterranean,,G. cavernula,0
BC15,Piston,41.95,5.93,2500,Mediterranean,,G. crassaformis,0
BC15,Piston,41.95,5.93,2500,Mediterranean,,G. hirsuta,0
BC15,Piston,41.95,5.93,2500,Mediterranean,,G. cultrata,0
BC15,Piston,41.95,5.93,2500,Mediterranean,,G. scitula,19
BC15,Piston,41.95,5.93,2500,Mediterranean,,G. truncatulinoides,0
BC15,Piston,41.95,5.93,2500,Mediterranean,,G. tumida,0
BC15,Piston,41.95,5.93,2500,Mediterranean,,G. ungulata,0
BC15,Piston,41.95,5.93,2500,Mediterranean,,G. eastropacia,0
BC15,Piston,41.95,5.93,2500,Mediterranean,,G. inflata,0
BC15,Piston,41.95,5.93,2500,Mediterranean,,N. dutertrei,0
BC15,Piston,41.95,5.93,2500,Mediterranean,,N. incompta,9
BC15,Piston,41.95,5.93,2500,Mediterranean,,N. pachyderma,0
BC15,Piston,41.95,5.93,2500,Mediterranean,,P. obliquiloculata,0
BC15,Piston,41.95,5.93,2500,Mediterranean,,G. conglomerata,0
BC15,Piston,41.95,5.93,2500,Mediterranean,,G. hexagonus,0
BC15,Piston,41.95,5.93,2500,Mediterranean,,B. pumilio,0
BC15,Piston,41.95,5.93,2500,Mediterranean,,G. bulloides,96
BC15,Piston,41.95,5.93,2500,Mediterranean,,G. falconensis,0
BC15,Piston,41.95,5.93,2500,Mediterranean,,G. conglobatus,0
BC15,Piston,41.95,5.93,2500,Mediterranean,,G. ruber ruber,0
BC15,Piston,41.95,5.93,2500,Mediterranean,,G. ruber albus,0
BC15,Piston,41.95,5.93,2500,Mediterranean,,T. sacculifer,0
BC15,Piston,41.95,5.93,2500,Mediterranean,,G. tenellus,0
BC15,Piston,41.95,5.93,2500,Mediterranean,,O. universa,0
BC15,Piston,41.95,5.93,2500,Mediterranean,,B. digitata,0
BC15,Piston,41.95,5.93,2500,Mediterranean,,G. siphonifera,0
BC15,Piston,41.95,5.93,2500,Mediterranean,,G. calida,0
BC15,Piston,41.95,5.93,2500,Mediterranean,,G. adamsi,0
