Core,Coring device,Latitude,Longitude,Water depth (m),Ocean,Sample depth - upper (m),Species,Relative Abundance
OD-041-04,,84.0292,11.2383,3344,North Atlantic,0.14,D. anfracta,0
OD-041-04,,84.0292,11.2383,3344,North Atlantic,0.14,G. cavernula,0
OD-041-04,,84.0292,11.2383,3344,North Atlantic,0.14,G. crassaformis,0
OD-041-04,,84.0292,11.2383,3344,North Atlantic,0.14,G. hirsuta,0
OD-041-04,,84.0292,11.2383,3344,North Atlantic,0.14,G. cultrata,0
OD-041-04,,84.0292,11.2383,3344,North Atlantic,0.14,G. scitula,0
OD-041-04,,84.0292,11.2383,3344,North Atlantic,0.14,G. truncatulinoides,0
OD-041-04,,84.0292,11.2383,3344,North Atlantic,0.14,G. tumida,0
OD-041-04,,84.0292,11.2383,3344,North Atlantic,0.14,G. ungulata,0
OD-041-04,,84.0292,11.2383,3344,North Atlantic,0.14,G. eastropacia,0
OD-041-04,,84.0292,11.2383,3344,North Atlantic,0.14,G. inflata,0
OD-041-04,,84.0292,11.2383,3344,North Atlantic,0.14,N. dutertrei,0
OD-041-04,,84.0292,11.2383,3344,North Atlantic,0.14,N. incompta,0.031
OD-041-04,,84.0292,11.2383,3344,North Atlantic,0.14,N. pachyderma,0.962
OD-041-04,,84.0292,11.2383,3344,North Atlantic,0.14,P. obliquiloculata,0
OD-041-04,,84.0292,11.2383,3344,North Atlantic,0.14,G. conglomerata,0
OD-041-04,,84.0292,11.2383,3344,North Atlantic,0.14,G. hexagonus,0
OD-041-04,,84.0292,11.2383,3344,North Atlantic,0.14,B. pumilio,0
OD-041-04,,84.0292,11.2383,3344,North Atlantic,0.14,G. bulloides,0
OD-041-04,,84.0292,11.2383,3344,North Atlantic,0.14,G. falconensis,0
OD-041-04,,84.0292,11.2383,3344,North Atlantic,0.14,G. conglobatus,0
OD-041-04,,84.0292,11.2383,3344,North Atlantic,0.14,G. ruber ruber,0
OD-041-04,,84.0292,11.2383,3344,North Atlantic,0.14,G. ruber albus,0
OD-041-04,,84.0292,11.2383,3344,North Atlantic,0.14,T. sacculifer,0
OD-041-04,,84.0292,11.2383,3344,North Atlantic,0.14,G. tenellus,0
OD-041-04,,84.0292,11.2383,3344,North Atlantic,0.14,O. universa,0
OD-041-04,,84.0292,11.2383,3344,North Atlantic,0.14,B. digitata,0
OD-041-04,,84.0292,11.2383,3344,North Atlantic,0.14,G. siphonifera,0
OD-041-04,,84.0292,11.2383,3344,North Atlantic,0.14,G. calida,0
OD-041-04,,84.0292,11.2383,3344,North Atlantic,0.14,G. adamsi,0
OD-041-04,,84.0292,11.2383,3344,North Atlantic,0.14,T. quinqueloba,0
OD-041-04,,84.0292,11.2383,3344,North Atlantic,0.14,T. humilis,0
OD-041-04,,84.0292,11.2383,3344,North Atlantic,0.14,G. rubescens,0
OD-041-04,,84.0292,11.2383,3344,North Atlantic,0.14,S. dehiscens,0
OD-041-04,,84.0292,11.2383,3344,North Atlantic,0.14,C. nitida,0
OD-041-04,,84.0292,11.2383,3344,North Atlantic,0.14,G. glutinata,0.007
OD-041-04,,84.0292,11.2383,3344,North Atlantic,0.14,G. uvula,0
OD-041-04,,84.0292,11.2383,3344,North Atlantic,0.14,G. minuta,0
OD-041-04,,84.0292,11.2383,3344,North Atlantic,0.14,T. iota,0
OD-041-04,,84.0292,11.2383,3344,North Atlantic,0.14,H. pelagica,0
OD-041-04,,84.0292,11.2383,3344,North Atlantic,0.14,H. digitata,0
OD-041-04,,84.0292,11.2383,3344,North Atlantic,0.15,D. anfracta,0
OD-041-04,,84.0292,11.2383,3344,North Atlantic,0.15,G. cavernula,0
OD-041-04,,84.0292,11.2383,3344,North Atlantic,0.15,G. crassaformis,0
OD-041-04,,84.0292,11.2383,3344,North Atlantic,0.15,G. hirsuta,0
OD-041-04,,84.0292,11.2383,3344,North Atlantic,0.15,G. cultrata,0
OD-041-04,,84.0292,11.2383,3344,North Atlantic,0.15,G. scitula,0
OD-041-04,,84.0292,11.2383,3344,North Atlantic,0.15,G. truncatulinoides,0
OD-041-04,,84.0292,11.2383,3344,North Atlantic,0.15,G. tumida,0
OD-041-04,,84.0292,11.2383,3344,North Atlantic,0.15,G. ungulata,0
OD-041-04,,84.0292,11.2383,3344,North Atlantic,0.15,G. eastropacia,0
OD-041-04,,84.0292,11.2383,3344,North Atlantic,0.15,G. inflata,0
OD-041-04,,84.0292,11.2383,3344,North Atlantic,0.15,N. dutertrei,0
OD-041-04,,84.0292,11.2383,3344,North Atlantic,0.15,N. incompta,0.007
OD-041-04,,84.0292,11.2383,3344,North Atlantic,0.15,N. pachyderma,0.991
OD-041-04,,84.0292,11.2383,3344,North Atlantic,0.15,P. obliquiloculata,0
OD-041-04,,84.0292,11.2383,3344,North Atlantic,0.15,G. conglomerata,0
OD-041-04,,84.0292,11.2383,3344,North Atlantic,0.15,G. hexagonus,0
OD-041-04,,84.0292,11.2383,3344,North Atlantic,0.15,B. pumilio,0
OD-041-04,,84.0292,11.2383,3344,North Atlantic,0.15,G. bulloides,0.001
OD-041-04,,84.0292,11.2383,3344,North Atlantic,0.15,G. falconensis,0
OD-041-04,,84.0292,11.2383,3344,North Atlantic,0.15,G. conglobatus,0
OD-041-04,,84.0292,11.2383,3344,North Atlantic,0.15,G. ruber ruber,0
OD-041-04,,84.0292,11.2383,3344,North Atlantic,0.15,G. ruber albus,0
OD-041-04,,84.0292,11.2383,3344,North Atlantic,0.15,T. sacculifer,0
OD-041-04,,84.0292,11.2383,3344,North Atlantic,0.15,G. tenellus,0
OD-041-04,,84.0292,11.2383,3344,North Atlantic,0.15,O. universa,0
OD-041-04,,84.0292,11.2383,3344,North Atlantic,0.15,B. digitata,0
OD-041-04,,84.0292,11.2383,3344,North Atlantic,0.15,G. siphonifera,0
OD-041-04,,84.0292,11.2383,3344,North Atlantic,0.15,G. calida,0
OD-041-04,,84.0292,11.2383,3344,North Atlantic,0.15,G. adamsi,0
OD-041-04,,84.0292,11.2383,3344,North Atlantic,0.15,T. quinqueloba,0
OD-041-04,,84.0292,11.2383,3344,North Atlantic,0.15,T. humilis,0
OD-041-04,,84.0292,11.2383,3344,North Atlantic,0.15,G. rubescens,0
OD-041-04,,84.0292,11.2383,3344,North Atlantic,0.15,S. dehiscens,0
OD-041-04,,84.0292,11.2383,3344,North Atlantic,0.15,C. nitida,0
OD-041-04,,84.0292,11.2383,3344,North Atlantic,0.15,G. glutinata,0.001
OD-041-04,,84.0292,11.2383,3344,North Atlantic,0.15,G. uvula,0
OD-041-04,,84.0292,11.2383,3344,North Atlantic,0.15,G. minuta,0
OD-041-04,,84.0292,11.2383,3344,North Atlantic,0.15,T. iota,0
OD-041-04,,84.0292,11.2383,3344,North Atlantic,0.15,H. pelagica,0
OD-041-04,,84.0292,11.2383,3344,North Atlantic,0.15,H. digitata,0
PS2446-4,,82.3967,40.9083,2022,North Atlantic,3.1,D. anfracta,0
PS2446-4,,82.3967,40.9083,2022,North Atlantic,3.1,G. cavernula,0
PS2446-4,,82.3967,40.9083,2022,North Atlantic,3.1,G. crassaformis,0
PS2446-4,,82.3967,40.9083,2022,North Atlantic,3.1,G. hirsuta,0
PS2446-4,,82.3967,40.9083,2022,North Atlantic,3.1,G. cultrata,0
PS2446-4,,82.3967,40.9083,2022,North Atlantic,3.1,G. scitula,0
PS2446-4,,82.3967,40.9083,2022,North Atlantic,3.1,G. truncatulinoides,0
PS2446-4,,82.3967,40.9083,2022,North Atlantic,3.1,G. tumida,0
PS2446-4,,82.3967,40.9083,2022,North Atlantic,3.1,G. ungulata,0
PS2446-4,,82.3967,40.9083,2022,North Atlantic,3.1,G. eastropacia,0
PS2446-4,,82.3967,40.9083,2022,North Atlantic,3.1,G. inflata,0
PS2446-4,,82.3967,40.9083,2022,North Atlantic,3.1,N. dutertrei,0
PS2446-4,,82.3967,40.9083,2022,North Atlantic,3.1,N. incompta,0.023
PS2446-4,,82.3967,40.9083,2022,North Atlantic,3.1,N. pachyderma,0.977
PS2446-4,,82.3967,40.9083,2022,North Atlantic,3.1,P. obliquiloculata,0
PS2446-4,,82.3967,40.9083,2022,North Atlantic,3.1,G. conglomerata,0
PS2446-4,,82.3967,40.9083,2022,North Atlantic,3.1,G. hexagonus,0
PS2446-4,,82.3967,40.9083,2022,North Atlantic,3.1,B. pumilio,0
PS2446-4,,82.3967,40.9083,2022,North Atlantic,3.1,G. bulloides,0
PS2446-4,,82.3967,40.9083,2022,North Atlantic,3.1,G. falconensis,0
PS2446-4,,82.3967,40.9083,2022,North Atlantic,3.1,G. conglobatus,0
PS2446-4,,82.3967,40.9083,2022,North Atlantic,3.1,G. ruber ruber,0
PS2446-4,,82.3967,40.9083,2022,North Atlantic,3.1,G. ruber albus,0
PS2446-4,,82.3967,40.9083,2022,North Atlantic,3.1,T. sacculifer,0
PS2446-4,,82.3967,40.9083,2022,North Atlantic,3.1,G. tenellus,0
PS2446-4,,82.3967,40.9083,2022,North Atlantic,3.1,O. universa,0
PS2446-4,,82.3967,40.9083,2022,North Atlantic,3.1,B. digitata,0
PS2446-4,,82.3967,40.9083,2022,North Atlantic,3.1,G. siphonifera,0
PS2446-4,,82.3967,40.9083,2022,North Atlantic,3.1,G. calida,0
PS2446-4,,82.3967,40.9083,2022,North Atlantic,3.1,G. adamsi,0
PS2446-4,,82.3967,40.9083,2022,North Atlantic,3.1,T. quinqueloba,0
PS2446-4,,82.3967,40.9083,2022,North Atlantic,3.1,T. humilis,0
PS2446-4,,82.3967,40.9083,2022,North Atlantic,3.1,G. rubescens,0
PS2446-4,,82.3967,40.9083,2022,North Atlantic,3.1,S. dehiscens,0
PS2446-4,,82.3967,40.9083,2022,North Atlantic,3.1,C. nitida,0
PS2446-4,,82.3967,40.9083,2022,North Atlantic,3.1,G. glutinata,0
PS2446-4,,82.3967,40.9083,2022,North Atlantic,3.1,G. uvula,0
PS2446-4,,82.3967,40.9083,2022,North Atlantic,3.1,G. minuta,0
PS2446-4,,82.3967,40.9083,2022,North Atlantic,3.1,T. iota,0
PS2446-4,,82.3967,40.9083,2022,North Atlantic,3.1,H. pelagica,0
PS2446-4,,82.3967,40.9083,2022,North Atlantic,3.1,H. digitata,0
PS2446-4,,82.3967,40.9083,2022,North Atlantic,3.3,D. anfracta,0
PS2446-4,,82.3967,40.9083,2022,North Atlantic,3.3,G. cavernula,0
PS2446-4,,82.3967,40.9083,2022,North Atlantic,3.3,G. crassaformis,0
PS2446-4,,82.3967,40.9083,2022,North Atlantic,3.3,G. hirsuta,0
PS2446-4,,82.3967,40.9083,2022,North Atlantic,3.3,G. cultrata,0
PS2446-4,,82.3967,40.9083,2022,North Atlantic,3.3,G. scitula,0
PS2446-4,,82.3967,40.9083,2022,North Atlantic,3.3,G. truncatulinoides,0
PS2446-4,,82.3967,40.9083,2022,North Atlantic,3.3,G. tumida,0
PS2446-4,,82.3967,40.9083,2022,North Atlantic,3.3,G. ungulata,0
PS2446-4,,82.3967,40.9083,2022,North Atlantic,3.3,G. eastropacia,0
PS2446-4,,82.3967,40.9083,2022,North Atlantic,3.3,G. inflata,0
PS2446-4,,82.3967,40.9083,2022,North Atlantic,3.3,N. dutertrei,0
PS2446-4,,82.3967,40.9083,2022,North Atlantic,3.3,N. incompta,0.017
PS2446-4,,82.3967,40.9083,2022,North Atlantic,3.3,N. pachyderma,0.983
PS2446-4,,82.3967,40.9083,2022,North Atlantic,3.3,P. obliquiloculata,0
PS2446-4,,82.3967,40.9083,2022,North Atlantic,3.3,G. conglomerata,0
PS2446-4,,82.3967,40.9083,2022,North Atlantic,3.3,G. hexagonus,0
PS2446-4,,82.3967,40.9083,2022,North Atlantic,3.3,B. pumilio,0
PS2446-4,,82.3967,40.9083,2022,North Atlantic,3.3,G. bulloides,0
PS2446-4,,82.3967,40.9083,2022,North Atlantic,3.3,G. falconensis,0
PS2446-4,,82.3967,40.9083,2022,North Atlantic,3.3,G. conglobatus,0
PS2446-4,,82.3967,40.9083,2022,North Atlantic,3.3,G. ruber ruber,0
PS2446-4,,82.3967,40.9083,2022,North Atlantic,3.3,G. ruber albus,0
PS2446-4,,82.3967,40.9083,2022,North Atlantic,3.3,T. sacculifer,0
PS2446-4,,82.3967,40.9083,2022,North Atlantic,3.3,G. tenellus,0
PS2446-4,,82.3967,40.9083,2022,North Atlantic,3.3,O. universa,0
PS2446-4,,82.3967,40.9083,2022,North Atlantic,3.3,B. digitata,0
PS2446-4,,82.3967,40.9083,2022,North Atlantic,3.3,G. siphonifera,0
PS2446-4,,82.3967,40.9083,2022,North Atlantic,3.3,G. calida,0
PS2446-4,,82.3967,40.9083,2022,North Atlantic,3.3,G. adamsi,0
PS2446-4,,82.3967,40.9083,2022,North Atlantic,3.3,T. quinqueloba,0
PS2446-4,,82.3967,40.9083,2022,North Atlantic,3.3,T. humilis,0
PS2446-4,,82.3967,40.9083,2022,North Atlantic,3.3,G. rubescens,0
PS2446-4,,82.3967,40.9083,2022,North Atlantic,3.3,S. dehiscens,0
PS2446-4,,82.3967,40.9083,2022,North Atlantic,3.3,C. nitida,0
PS2446-4,,82.3967,40.9083,2022,North Atlantic,3.3,G. glutinata,0
PS2446-4,,82.3967,40.9083,2022,North Atlantic,3.3,G. uvula,0
PS2446-4,,82.3967,40.9083,2022,North Atlantic,3.3,G. minuta,0
PS2446-4,,82.3967,40.9083,2022,North Atlantic,3.3,T. iota,0
PS2446-4,,82.3967,40.9083,2022,North Atlantic,3.3,H. pelagica,0
PS2446-4,,82.3967,40.9083,2022,North Atlantic,3.3,H. digitata,0
PS2446-4,,82.3967,40.9083,2022,North Atlantic,3.5,D. anfracta,0
PS2446-4,,82.3967,40.9083,2022,North Atlantic,3.5,G. cavernula,0
PS2446-4,,82.3967,40.9083,2022,North Atlantic,3.5,G. crassaformis,0
PS2446-4,,82.3967,40.9083,2022,North Atlantic,3.5,G. hirsuta,0
PS2446-4,,82.3967,40.9083,2022,North Atlantic,3.5,G. cultrata,0
PS2446-4,,82.3967,40.9083,2022,North Atlantic,3.5,G. scitula,0
PS2446-4,,82.3967,40.9083,2022,North Atlantic,3.5,G. truncatulinoides,0
PS2446-4,,82.3967,40.9083,2022,North Atlantic,3.5,G. tumida,0
PS2446-4,,82.3967,40.9083,2022,North Atlantic,3.5,G. ungulata,0
PS2446-4,,82.3967,40.9083,2022,North Atlantic,3.5,G. eastropacia,0
PS2446-4,,82.3967,40.9083,2022,North Atlantic,3.5,G. inflata,0
PS2446-4,,82.3967,40.9083,2022,North Atlantic,3.5,N. dutertrei,0
PS2446-4,,82.3967,40.9083,2022,North Atlantic,3.5,N. incompta,0.024
PS2446-4,,82.3967,40.9083,2022,North Atlantic,3.5,N. pachyderma,0.976
PS2446-4,,82.3967,40.9083,2022,North Atlantic,3.5,P. obliquiloculata,0
PS2446-4,,82.3967,40.9083,2022,North Atlantic,3.5,G. conglomerata,0
PS2446-4,,82.3967,40.9083,2022,North Atlantic,3.5,G. hexagonus,0
PS2446-4,,82.3967,40.9083,2022,North Atlantic,3.5,B. pumilio,0
PS2446-4,,82.3967,40.9083,2022,North Atlantic,3.5,G. bulloides,0
PS2446-4,,82.3967,40.9083,2022,North Atlantic,3.5,G. falconensis,0
PS2446-4,,82.3967,40.9083,2022,North Atlantic,3.5,G. conglobatus,0
PS2446-4,,82.3967,40.9083,2022,North Atlantic,3.5,G. ruber ruber,0
PS2446-4,,82.3967,40.9083,2022,North Atlantic,3.5,G. ruber albus,0
PS2446-4,,82.3967,40.9083,2022,North Atlantic,3.5,T. sacculifer,0
PS2446-4,,82.3967,40.9083,2022,North Atlantic,3.5,G. tenellus,0
PS2446-4,,82.3967,40.9083,2022,North Atlantic,3.5,O. universa,0
PS2446-4,,82.3967,40.9083,2022,North Atlantic,3.5,B. digitata,0
PS2446-4,,82.3967,40.9083,2022,North Atlantic,3.5,G. siphonifera,0
PS2446-4,,82.3967,40.9083,2022,North Atlantic,3.5,G. calida,0
PS2446-4,,82.3967,40.9083,2022,North Atlantic,3.5,G. adamsi,0
PS2446-4,,82.3967,40.9083,2022,North Atlantic,3.5,T. quinqueloba,0
PS2446-4,,82.3967,40.9083,2022,North Atlantic,3.5,T. humilis,0
PS2446-4,,82.3967,40.9083,2022,North Atlantic,3.5,G. rubescens,0
PS2446-4,,82.3967,40.9083,2022,North Atlantic,3.5,S. dehiscens,0
PS2446-4,,82.3967,40.9083,2022,North Atlantic,3.5,C. nitida,0
PS2446-4,,82.3967,40.9083,2022,North Atlantic,3.5,G. glutinata,0
PS2446-4,,82.3967,40.9083,2022,North Atlantic,3.5,G. uvula,0
PS2446-4,,82.3967,40.9083,2022,North Atlantic,3.5,G. minuta,0
PS2446-4,,82.3967,40.9083,2022,North Atlantic,3.5,T. iota,0
PS2446-4,,82.3967,40.9083,2022,North Atlantic,3.5,H. pelagica,0
PS2446-4,,82.3967,40.9083,2022,North Atlantic,3.5,H. digitata,0
PS1533-3,,82.0317,15.1908,2026,North Atlantic,0.73,D. anfracta,0
PS1533-3,,82.0317,15.1908,2026,North Atlantic,0.73,G. cavernula,0
PS1533-3,,82.0317,15.1908,2026,North Atlantic,0.73,G. crassaformis,0
PS1533-3,,82.0317,15.1908,2026,North Atlantic,0.73,G. hirsuta,0
PS1533-3,,82.0317,15.1908,2026,North Atlantic,0.73,G. cultrata,0
PS1533-3,,82.0317,15.1908,2026,North Atlantic,0.73,G. scitula,0
PS1533-3,,82.0317,15.1908,2026,North Atlantic,0.73,G. truncatulinoides,0
PS1533-3,,82.0317,15.1908,2026,North Atlantic,0.73,G. tumida,0
PS1533-3,,82.0317,15.1908,2026,North Atlantic,0.73,G. ungulata,0
PS1533-3,,82.0317,15.1908,2026,North Atlantic,0.73,G. eastropacia,0
PS1533-3,,82.0317,15.1908,2026,North Atlantic,0.73,G. inflata,0
PS1533-3,,82.0317,15.1908,2026,North Atlantic,0.73,N. dutertrei,0
PS1533-3,,82.0317,15.1908,2026,North Atlantic,0.73,N. incompta,0.03
PS1533-3,,82.0317,15.1908,2026,North Atlantic,0.73,N. pachyderma,0.954
PS1533-3,,82.0317,15.1908,2026,North Atlantic,0.73,P. obliquiloculata,0
PS1533-3,,82.0317,15.1908,2026,North Atlantic,0.73,G. conglomerata,0
PS1533-3,,82.0317,15.1908,2026,North Atlantic,0.73,G. hexagonus,0
PS1533-3,,82.0317,15.1908,2026,North Atlantic,0.73,B. pumilio,0
PS1533-3,,82.0317,15.1908,2026,North Atlantic,0.73,G. bulloides,0.013
PS1533-3,,82.0317,15.1908,2026,North Atlantic,0.73,G. falconensis,0
PS1533-3,,82.0317,15.1908,2026,North Atlantic,0.73,G. conglobatus,0
PS1533-3,,82.0317,15.1908,2026,North Atlantic,0.73,G. ruber ruber,0
PS1533-3,,82.0317,15.1908,2026,North Atlantic,0.73,G. ruber albus,0
PS1533-3,,82.0317,15.1908,2026,North Atlantic,0.73,T. sacculifer,0
PS1533-3,,82.0317,15.1908,2026,North Atlantic,0.73,G. tenellus,0
PS1533-3,,82.0317,15.1908,2026,North Atlantic,0.73,O. universa,0
PS1533-3,,82.0317,15.1908,2026,North Atlantic,0.73,B. digitata,0
PS1533-3,,82.0317,15.1908,2026,North Atlantic,0.73,G. siphonifera,0
PS1533-3,,82.0317,15.1908,2026,North Atlantic,0.73,G. calida,0
PS1533-3,,82.0317,15.1908,2026,North Atlantic,0.73,G. adamsi,0
PS1533-3,,82.0317,15.1908,2026,North Atlantic,0.73,T. quinqueloba,0.002
PS1533-3,,82.0317,15.1908,2026,North Atlantic,0.73,T. humilis,0
PS1533-3,,82.0317,15.1908,2026,North Atlantic,0.73,G. rubescens,0
PS1533-3,,82.0317,15.1908,2026,North Atlantic,0.73,S. dehiscens,0
PS1533-3,,82.0317,15.1908,2026,North Atlantic,0.73,C. nitida,0
PS1533-3,,82.0317,15.1908,2026,North Atlantic,0.73,G. glutinata,0.001
PS1533-3,,82.0317,15.1908,2026,North Atlantic,0.73,G. uvula,0
PS1533-3,,82.0317,15.1908,2026,North Atlantic,0.73,G. minuta,0
