Event,Data_Source,Depth [m],Latitude,Longitude,symbiont-barren non-spinose,symbiont-barren spinose,symbiont-bearing non-spinose,symbiont-bearing spinose,symbiont-facultative non-spinose,symbiont-facultative spinose,symbiont-obligate spinose,undetermined non-spinose
181-1123,forcens_lgm,,-41.786,-171.499,298,228,0,0,160,0,3,0
80KB11,forcens_lgm,,36.5,24.3,146,89,0,0,31,0,2,0
A015558,forcens_lgm,0.58,8.983333333,51.73333333,93,41,0,13,130,0,24,0
A156-04,forcens_lgm,750,34.817,-74.683,20,36,0,20,98,0,149,0
A164-05,forcens_lgm,171,37.767,-71.235,118,34,0,8,155,0,36,0
A164-06,forcens_lgm,109,38.133,-69.851,96,29,0,0,47,1,13,0
A164-24,forcens_lgm,75,36.483,-69,26,7,0,1,85,0,37,0
A164-61,forcens_lgm,100,39.535,-68.783,127,69,0,9,151,0,36,0
A167-13,forcens_lgm,140,31.65,-75.35,52,15,0,11,120,0,116,0
A167-14,forcens_lgm,100,31.467,-76.467,49,13,0,18,116,0,127,0
A172-01,forcens_lgm,40,17.233,-73.467,26,11,0,15,99,0,326,0
A172-02,forcens_lgm,60,16.2,-72.317,18,9,0,26,124,1,247,0
A173-04,forcens_lgm,72,33.867,-62.533,80,16,0,1,192,0,50,0
A179-15,forcens_lgm,149,24.8,-75.933,22,3,0,66,65,0,274,0
A179-15,forcens_lgm,162,24.8,-75.933,34,3,0,83,116,0,426,0
A180-09,forcens_lgm,60,39.45,-45.95,209,63,0,0,100,0,20,0
A180-15,forcens_lgm,60,39.267,-36.7,240,69,0,2,270,0,86,0
A180-16,forcens_lgm,70,38.35,-32.483,96,88,0,4,100,0,31,0
A180-32,forcens_lgm,60,29.117,-26.25,67,8,0,8,80,0,175,0
A180-39,forcens_lgm,30,25.833,-19.3,205,90,0,2,74,0,89,0
A180-47,forcens_lgm,350,15.318,-17.918,17,226,0,13,69,0,68,0
A180-48,forcens_lgm,529,15.317,-18.1,11,108,0,6,69,0,162,0
A180-56,forcens_lgm,100,12.235,-17.767,73,203,0,7,53,0,120,0
A180-72,forcens_lgm,46,0.585,-21.783,143,10,0,1,161,0,45,0
A180-73,forcens_lgm,60,0.167,-23,213,8,0,11,309,0,179,0
A180-74,forcens_lgm,50,-0.05,-24.167,136,19,0,1,116,0,79,0
A180-76,forcens_lgm,60,-0.767,-26.033,62,2,0,1,117,1,63,0
AII 125-8 JPC 20,forcens_lgm,,26.03816667,-110.9301667,1626,918,0,0,337,0,212,0
BC15,forcens_lgm,,41.95,5.93,102,461,0,0,74,0,4,0
BS79-22,forcens_lgm,,38.231,14.23,2144,1517,0,13,1548,0,1146,0
BS79-33,forcens_lgm,,38.157,14.018,1461,1296,0,0,834,0,785,0
BS79-37,forcens_lgm,,38.215,13.269,427,408,0,2,332,0,113,0
BS79-38,forcens_lgm,,38.247,13.346,1495,2509,0,8,1770,0,793,0
DED8707,forcens_lgm,,39.41,13.34,147,216,0,0,81,0,52,0
DSDP site 594,forcens_lgm,2.52,-45.5235,174.948,510,7,0,0,17,0,0,0
E-34,forcens_lgm,,19.26883333,-94.5115,299,200,2,0,439,0,1603,0
E-35,forcens_lgm,,19.16266667,-94.535,177,72,5,4,318,0,1296,5
E-37,forcens_lgm,,18.961,-94.50916667,195,56,1,1,26,0,536,1
E26-001,forcens_lgm,0.61,-40.28333333,168.34,104,142,0,0,69,0,3,0
E27-030,forcens_lgm,0.6,-45.0667,147.2283,103,137,0,0,71,0,5,0
