Event,Data_Source,Depth [m],Latitude,Longitude,symbiont-barren non-spinose,symbiont-barren spinose,symbiont-bearing non-spinose,symbiont-bearing spinose,symbiont-facultative non-spinose,symbiont-facultative spinose,symbiont-obligate spinose,undetermined non-spinose
117-723A,forcens_lgm,,18.0518,57.609,0.019,0.502,0,0,0.19,0.004,0.226,0.056
165-999A,forcens_lgm,,12.744,-78.7393,0.076,0.019,0,0.036,0.399,0,,0
17938-2,forcens_lgm,3.65,19.78,117.53,0.00903614457,0.06325301205,0,0.0391566265,0.68975903619,0,0.19879518077,0
17938-2,forcens_lgm,3.75,19.78,117.53,0.01529051988,0.06727828746,0,0.03058103976,0.62996941898,0,0.2354740061,0.00305810398
17938-2,forcens_lgm,3.85,19.78,117.53,0.01230769231,0.07076923077,0,0.02769230769,0.5753846154,0,0.30769230772,0
17938-2,forcens_lgm,3.95,19.78,117.53,0.01265822784,0.09071729958,0,0.0358649789,0.56118143463,0,0.29957805902,0
17938-2,forcens_lgm,4.05,19.78,117.53,0.00982800983,0.04422604423,0,0.02702702703,0.656019656,0,0.24570024572,0
17938-2,forcens_lgm,4.15,19.78,117.53,0.0107913669,0.1079136691,0,0.01798561151,0.55035971227,0,0.30575539564,0
17938-2,forcens_lgm,4.25,19.78,117.53,0.01766004415,0.09492273731,0,0.03311258278,0.50772626935,0,0.32891832234,0
17938-2,forcens_lgm,4.35,19.78,117.53,0.03265306123,0.07346938776,0,0.02448979592,0.56734693881,0,0.28163265308,0
17938-2,forcens_lgm,4.45,19.78,117.53,0.0070754717,0.04009433962,0,0.03066037736,0.68160377361,0,0.22877358492,0
17938-2,forcens_lgm,4.55,19.78,117.53,0.00549450549,0.07142857143,0,0.01648351648,0.57692307692,0,0.31318681319,0
17938-2,forcens_lgm,4.65,19.78,117.53,0.01285347043,0.05398457584,0,0.01028277635,0.5475578406,0,0.35218508993,0
17938-2,forcens_lgm,4.75,19.78,117.53,0.01355932204,0.04406779661,0,0.04406779661,0.66779661013,0,0.20677966107,0
17938-2,forcens_lgm,4.85,19.78,117.53,0.0522388,0.05970149253,0,0.0223880597,0.57089544173,0,0.26119402986,0.00373134328
17938-2,forcens_lgm,4.95,19.78,117.53,0.01608579088,0.03753351206,0,0.00804289544,0.71581769444,0,0.21179624665,0.00268096515
17938-2,forcens_lgm,5.05,19.78,117.53,0.02732240437,0.06010928962,0,0.0300546448,0.58196721314,0,0.28142076507,0.00273224044
17938-2,forcens_lgm,5.15,19.78,117.53,0.02960526316,0.04276315789,0,0.01973684211,0.60526315793,0,0.29276315789,0
17938-2,forcens_lgm,5.25,19.78,117.53,0.03413654619,0.0421686747,0,0.0140562249,0.62650602413,0,0.2771084337,0.00602409639
17938-2,forcens_lgm,5.35,19.78,117.53,0.0290102389,0.06484641638,0,0.03071672355,0.64675767916,0,0.22184300343,0.00341296928
17938-2,forcens_lgm,5.45,19.78,117.53,0.01428571429,0.1306122449,0,0.02653061224,0.54081632656,0,0.27959183671,0
17938-2,forcens_lgm,5.55,19.78,117.53,0.05394190871,0.0622406639,0,0.02074688796,0.64315352697,0,0.21161825722,0
17938-2,forcens_lgm,5.6,19.78,117.53,0.02502316961,0.07877664504,0,0.0092678406,0.64411492124,0,0.23632993511,0.00092678406
17938-2,forcens_lgm,5.65,19.78,117.53,0.0283286119,0.05099150142,0,0.02549575071,0.68555240791,0,0.18980169972,0
17938-2,forcens_lgm,5.75,19.78,117.53,0.0133037694,0.06208425721,0,0.0066518847,0.65410199561,0,0.24390243901,0.0044345898
17938-2,forcens_lgm,5.85,19.78,117.53,0.01678321678,0.04055944056,0,0.0055944056,0.79580419583,0,0.13566433566,0.0027972028
181-1123,forcens_lgm,,-41.786,-171.499,0.839786642244157,0.67400189952851,0,0,0.477680540008819,0,0.00853091821851362,0
202-1240,forcens_lgm,,0.02185,-86.46263,0.7604,,0,0.1011,,0,0.5929,0.0045
