Event,Data_Source,Depth [m],Latitude,Longitude,D. anfracta,G. cavernula,G. crassaformis,G. hirsuta,G. cultrata,G. scitula,G. truncatulinoides,G. tumida,G. ungulata,G. eastropacia,G. inflata,N. dutertrei,N. incompta,N. pachyderma,P. obliquiloculata,G. conglomerata,G. hexagonus,B. pumilio,G. bulloides,G. falconensis,G. conglobatus,G. ruber ruber,G. ruber albus,T. sacculifer,G. tenellus,O. universa,B. digitata,G. siphonifera,G. calida,G. adamsi,T. quinqueloba,T. humilis,G. rubescens,S. dehiscens,C. nitida,G. glutinata,G. uvula,G. minuta,T. iota,H. pelagica,H. digitata
GIK23354-6,forcens_lgm,0.8,70.3315,-10.6288,0,0,0,0,0,0,0,0,0,0,0,0,3,97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80KB11,forcens_lgm,,36.5,24.3,0,0,0,0,0,7,1,0,0,0,5,0,134,4,0,0,0,0,58,0,0,,,0,0,2,0,0,0,0,31,0,0,0,0,26,0,0,0,0,0
BC15,forcens_lgm,,41.95,5.93,0,0,0,0,0,19,0,0,0,0,0,0,9,0,0,0,0,0,96,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,32,0,0,0,0,0
BC15,forcens_lgm,,41.95,5.93,0,0,0,0,0,15,0,0,0,0,0,0,18,0,0,0,0,0,78,0,0,0,2,0,0,0,0,0,0,0,52,0,0,0,0,10,0,0,0,0,0
BC15,forcens_lgm,,41.95,5.93,0,0,0,0,0,24,1,0,0,0,2,0,16,0,0,0,0,0,101,0,0,0,2,0,0,0,0,0,0,0,84,0,0,0,0,30,0,0,0,0,0
BS79-22,forcens_lgm,,38.231,14.23,0,0,0,0,0,28,0,0,0,0,0,0,67,0,0,0,0,0,12,8,0,0,20,0,3,0,0,0,0,0,33,0,0,0,0,59,0,0,0,0,0
BS79-22,forcens_lgm,,38.231,14.23,0,0,0,0,0,38,0,0,0,0,0,0,97,0,0,0,0,0,30,15,0,0,26,0,2,0,0,0,0,0,67,0,0,0,0,104,0,0,0,0,0
BS79-22,forcens_lgm,,38.231,14.23,0,0,0,0,0,56,0,0,0,0,1,2,141,0,0,0,0,0,71,30,0,0,58,0,1,0,0,0,0,0,75,0,0,0,0,116,0,0,0,0,0
BS79-22,forcens_lgm,,38.231,14.23,0,0,0,0,0,18,0,0,0,0,2,0,63,0,0,0,0,0,22,11,0,0,26,0,0,0,0,0,0,0,35,0,0,0,0,39,0,0,0,0,0
BS79-22,forcens_lgm,,38.231,14.23,0,0,0,0,0,24,0,0,0,0,0,1,49,0,0,0,0,0,29,17,0,0,30,0,0,0,0,0,0,0,32,0,0,0,0,54,0,0,0,0,0
BS79-22,forcens_lgm,,38.231,14.23,0,0,0,0,0,20,0,0,0,0,0,0,76,0,0,0,0,0,29,14,0,0,36,0,0,0,0,1,0,0,39,0,0,0,0,59,0,0,0,0,0
BS79-22,forcens_lgm,,38.231,14.23,0,0,0,0,0,42,0,0,0,0,0,4,128,0,0,0,0,0,59,28,0,0,44,0,0,0,0,0,0,0,57,0,0,0,0,99,0,0,0,0,0
BS79-22,forcens_lgm,,38.231,14.23,0,0,0,0,0,18,0,0,0,0,1,0,44,0,0,0,0,0,31,18,0,0,18,0,0,0,0,0,0,0,16,0,0,0,0,38,0,0,0,0,0
BS79-22,forcens_lgm,,38.231,14.23,0,0,0,0,0,27,0,0,0,0,0,1,71,0,0,0,0,0,48,22,0,0,42,0,0,0,0,0,0,0,17,0,0,0,0,61,0,0,0,0,0
BS79-22,forcens_lgm,,38.231,14.23,0,0,0,0,0,57,0,0,0,0,0,0,80,0,0,0,0,0,38,24,0,0,53,0,0,0,0,0,0,0,32,0,0,0,0,91,0,0,0,0,0
BS79-22,forcens_lgm,,38.231,14.23,0,0,0,0,0,38,0,0,0,0,0,0,86,0,0,0,0,0,52,37,0,0,64,0,0,0,0,0,0,0,44,0,0,0,0,82,0,0,0,0,0
BS79-22,forcens_lgm,,38.231,14.23,0,0,0,0,0,41,0,0,0,0,2,0,98,0,0,0,0,0,53,31,0,0,31,0,2,0,0,0,0,0,59,0,0,0,0,111,0,0,0,0,0
BS79-22,forcens_lgm,,38.231,14.23,0,0,0,0,0,20,0,0,0,0,0,0,54,0,0,0,0,0,30,11,0,0,27,0,0,0,0,0,0,0,28,0,0,0,0,67,0,0,0,0,0
BS79-22,forcens_lgm,,38.231,14.23,0,0,0,0,0,26,0,0,0,0,0,0,46,0,0,0,0,0,34,13,0,0,14,0,0,0,0,0,0,0,21,0,0,0,0,57,0,0,0,0,0
BS79-22,forcens_lgm,,38.231,14.23,0,0,0,0,0,41,0,0,0,0,0,0,64,0,0,0,0,0,33,21,0,0,34,0,1,0,0,0,0,0,29,0,0,0,0,79,0,0,0,0,0
BS79-22,forcens_lgm,,38.231,14.23,0,0,0,0,0,24,0,0,0,0,0,0,60,0,0,0,0,0,53,20,0,0,41,0,0,1,0,0,0,0,27,0,0,0,0,93,0,0,0,0,0
BS79-22,forcens_lgm,,38.231,14.23,0,0,0,0,0,15,0,0,0,0,0,0,73,0,0,0,0,0,38,19,0,0,45,0,1,0,0,0,0,0,46,0,0,0,0,104,0,0,0,0,0
BS79-22,forcens_lgm,,38.231,14.23,0,0,0,0,0,13,0,0,0,0,0,0,48,0,0,0,0,0,24,14,0,0,36,0,0,0,0,0,0,0,18,0,0,0,0,52,0,0,0,0,0
BS79-22,forcens_lgm,,38.231,14.23,0,0,0,0,0,35,0,0,0,0,0,0,60,0,0,0,0,0,40,23,0,0,40,0,0,0,0,0,0,0,24,0,0,0,0,73,0,0,0,0,0
BS79-22,forcens_lgm,,38.231,14.23,0,0,0,0,0,34,0,0,0,0,0,0,32,0,0,0,0,0,24,8,0,0,38,0,0,0,0,0,0,0,28,0,0,0,0,42,0,0,0,0,0
BS79-22,forcens_lgm,,38.231,14.23,0,0,0,0,0,32,0,0,0,0,1,0,60,0,0,0,0,0,18,7,0,0,30,0,3,0,0,0,0,0,22,0,0,0,0,53,0,0,0,0,0
BS79-33,forcens_lgm,,38.157,14.018,0,0,0,0,0,42,0,0,0,0,0,7,96,0,0,0,0,0,41,14,0,0,39,0,0,0,0,1,0,0,48,0,0,0,0,75,0,0,0,0,0
BS79-33,forcens_lgm,,38.157,14.018,0,0,0,0,0,42,0,0,0,0,1,7,80,0,0,0,0,0,54,17,0,0,20,0,0,0,0,0,0,0,53,0,0,0,0,63,0,0,0,0,0
BS79-33,forcens_lgm,,38.157,14.018,0,0,0,0,0,33,0,0,0,0,1,9,78,0,0,0,0,0,64,22,0,0,45,0,0,0,0,0,0,0,41,0,0,0,0,39,0,0,0,0,0
BS79-33,forcens_lgm,,38.157,14.018,0,0,0,0,0,60,0,0,0,0,0,0,65,0,0,0,0,0,74,14,0,0,29,0,0,0,0,0,0,0,27,0,0,0,0,51,0,0,0,0,0
BS79-33,forcens_lgm,,38.157,14.018,0,0,0,0,0,25,0,0,0,0,0,4,82,0,0,0,0,0,74,19,0,0,34,0,0,0,0,0,0,0,35,0,0,0,0,39,0,0,0,0,0
BS79-33,forcens_lgm,,38.157,14.018,0,0,0,0,0,31,0,0,0,0,1,0,73,0,0,0,0,0,66,37,0,0,56,0,0,0,0,0,0,0,30,0,0,0,0,49,0,0,0,0,0
BS79-33,forcens_lgm,,38.157,14.018,0,0,0,0,0,50,0,0,0,0,0,1,54,0,0,0,0,0,67,18,0,0,37,0,0,0,0,0,0,0,53,0,0,0,0,64,0,0,0,0,0
BS79-33,forcens_lgm,,38.157,14.018,0,0,0,0,0,39,0,0,0,0,0,4,81,0,0,0,0,0,55,19,0,0,62,0,0,0,0,0,0,0,33,0,0,0,0,70,0,0,0,0,0
BS79-33,forcens_lgm,,38.157,14.018,0,0,0,0,0,30,0,0,0,0,0,2,78,0,0,0,0,0,60,20,0,0,46,0,0,1,0,0,0,0,39,0,0,0,0,61,0,0,0,0,0
BS79-33,forcens_lgm,,38.157,14.018,0,0,0,0,0,32,0,0,0,0,2,3,82,0,0,0,0,0,71,27,0,0,48,0,0,0,0,0,0,0,28,0,0,0,0,49,0,0,0,0,0
BS79-33,forcens_lgm,,38.157,14.018,0,0,0,0,0,42,0,0,0,0,1,1,76,0,0,0,0,0,51,25,0,0,31,0,0,0,0,1,0,0,40,0,0,0,0,75,0,0,0,0,0
BS79-33,forcens_lgm,,38.157,14.018,0,0,0,0,0,37,0,0,0,0,0,0,60,0,0,0,0,0,52,16,0,0,42,0,0,0,0,0,0,0,29,0,0,0,0,65,0,0,0,0,0
BS79-33,forcens_lgm,,38.157,14.018,0,0,0,0,0,39,0,0,0,0,1,3,54,0,0,0,0,0,71,20,2,2,21,0,0,0,0,0,0,0,40,0,0,0,0,86,0,0,0,0,0
BS79-37,forcens_lgm,,38.215,13.269,0,0,0,0,0,17,0,0,0,0,0,0,165,4,0,0,0,0,143,36,0,0,7,0,2,0,0,0,0,0,25,0,0,0,0,72,0,0,0,0,0
BS79-37,forcens_lgm,,38.215,13.269,0,0,0,0,0,24,0,0,0,0,1,0,94,1,0,0,0,0,88,43,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,126,0,0,0,0,0
BS79-37,forcens_lgm,,38.215,13.269,0,0,0,0,0,44,0,0,0,0,1,0,73,5,0,0,0,0,80,27,0,0,0,0,0,0,0,0,0,0,46,0,0,0,0,132,0,0,0,0,0
